Category,Tag,Link,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Hungary (1989-),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Independent State of Croatia (1941-1945),https://www.wikidata.org/wiki/Q153128,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Israel (1948-),https://www.wikidata.org/wiki/Q801,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Kingdom of Poland (1917–1918) ,,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Kingdom of Romania (1884–1947),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Kingdom of Serbia (1882–1918),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Kingdom of Serbs, Croats, and Slovenes (1918-1929)",,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Kingdom of Yugoslavia (1929-1941),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Nazi Germany (1933-1945),https://www.wikidata.org/wiki/Q7318,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Ottoman Empire (1299–1922),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Palestine, Mandatory (1920-1948)",https://www.wikidata.org/wiki/Q193714,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Poland (1945-1947),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Poland (1989-),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Poland, Interwar (1918-1939)",,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Poland, Occupied (1939-1945)",,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Polish People's Republic (1947-1989),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Protectorate of Bohemia and Moravia (1939-1945),https://www.wikidata.org/wiki/Q152750,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Russian Federation (1991-),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Serbia (2006-),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Slovak State (1939-1945),https://www.wikidata.org/wiki/Q154401,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Socialist Republic of Romania (1947-1989),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Soviet Union (USSR),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,United Kingdom of Great Britain (UK),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,United States of America (USA),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Yugoslavia (1945-1991),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Yugoslavia, occupied (1941-1944)",,,,,,,,,,,,,,,,,,,,,,,,,
